country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints,chargingPointsPerEv,population,GDP
Austria,AUT,Europe,EU,2023,2020-2023,Post-Pandemic,Cars,FCEV,9.0,0.0,89.0,0.0,0.0,0.0,0.07915364400761685,9131761.0,516670509628.876
Austria,AUT,Europe,EU,2023,2020-2023,Post-Pandemic,Cars,PHEV,17000.0,0.0,61000.0,0.0,0.0,0.0,0.07915364400761685,9131761.0,516670509628.876
Austria,AUT,Europe,EU,2023,2020-2023,Post-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,2500.0,0.07915364400761685,9131761.0,516670509628.876
Austria,AUT,Europe,EU,2023,2020-2023,Post-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,15000.0,0.07915364400761685,9131761.0,516670509628.876
Belgium,BEL,Europe,EU,2010,2010-2014,Pre-Pandemic,Buses,BEV,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10895586.0,481556503720.001
Belgium,BEL,Europe,EU,2010,2010-2014,Pre-Pandemic,Buses,EV,0.0,0.0,0.0,0.018999999389052,0.0,0.0,0.0,10895586.0,481556503720.001
Belgium,BEL,Europe,EU,2010,2010-2014,Pre-Pandemic,Cars,BEV,48.0,0.0,61.0,0.0,0.0,0.0,0.0,10895586.0,481556503720.001
Belgium,BEL,Europe,EU,2010,2010-2014,Pre-Pandemic,Cars,EV,0.0,0.009999999776483,0.0,0.001300000003539,0.0,0.0,0.0,10895586.0,481556503720.001
Belgium,BEL,Europe,EU,2010,2010-2014,Pre-Pandemic,Cars,FCEV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10895586.0,481556503720.001
Belgium,BEL,Europe,EU,2010,2010-2014,Pre-Pandemic,Cars,PHEV,8.0,0.0,9.0,0.0,0.0,0.0,0.0,10895586.0,481556503720.001
Belgium,BEL,Europe,EU,2010,2010-2014,Pre-Pandemic,Trucks,BEV,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10895586.0,481556503720.001
Belgium,BEL,Europe,EU,2010,2010-2014,Pre-Pandemic,Trucks,EV,0.0,0.0,0.0,0.001300000003539,0.0,0.0,0.0,10895586.0,481556503720.001
