Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,14058506663.7252,16685349673.9957,17892228569.8861,17865316886.3315,18144336903.7175,14559599499.5011,13026289835.7789,13349041408.7152,15327000248.8701,14905517742.8454,14932897821.2387,16871937697.5854,17828508289.6049,18352937976.2179
Channel Islands,CHI,"Population, total",SP.POP.TOTL,158621,159706,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,8902359316.35606,9648680025.8275,9454638123.23572,9594745810.67159,10527973277.6068,10109273770.329,9168857222.32574,9170044517.20264,10026394043.6136,10031864649.0819,9439810769.23077,11157540109.8939,11308272505.183,12507320838.3932
Chile,CHL,"Population, total",SP.POP.TOTL,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,217051209238.534,251382573893.87,267024782486.855,277395018842.417,259560978224.359,242450355830.884,249344863928.438,276154259981.097,295857562991.709,278308438545.118,254103710483.324,315507493783.262,301099244104.003,335802745366.38
China,CHN,"Population, total",SP.POP.TOTL,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,6192564874453.29,7671757207851.29,8673664713189.24,9743124247267.24,10674533168257.4,11280814787468.9,11456024084962,12537559062282.9,14147765772963.8,14560167101283.4,14996414166715.1,18201698719564,18316765021690.2,18270356654533.2
Colombia,COL,"Population, total",SP.POP.TOTL,44777319,45259614,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,286498534094.963,334966134804.887,370691143018.039,382093697077.685,381240864422.407,293492370193.166,282720100286.228,311866875156.879,334198218098.276,323031701192.84,270348342541.465,318524633225.395,345632492851.448,366901643683.302
Comoros,COM,"Population, total",SP.POP.TOTL,654836,668056,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,907979446.419588,1023087475.68355,1015842906.66403,1116223107.03168,1149587562.06748,966029600.862227,1012835493.19325,1077439756.59451,1188797449.38584,1195019531.9011,1225039196.61091,1299039312.22277,1279542248.96288,1465977684.31307
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,24161641931.0331,26392379641.765,30029369928.7318,34891189160.3002,38352980552.8665,40179574490.3032,38600224214.4728,37537521565.5308,46659954092.4862,46845900350.0332,46691989748.9186,59067289573.5102,70422346142.2023,69843655425.2929
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,13148396211.5955,15655383576.6515,17692911296.3044,17958720699.0868,17919321078.0284,12434793867.3568,10931328150.8478,11834473039.3645,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,15321055822.5167
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4555962,4609833,4663934,4716147,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,37658616965.6866,42762613784.989,47231655492.7812,50949668762.8328,52016408816.1842,56441920888.425,58847019587.626,60516044660.7496,62567765946.2665,64753504730.018,62806591554.7345,65588938787.0243,71001226360.8008,87512637055.7736
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,34936307980.063,36693710801.3976,36302302877.2977,42760235484.6093,48843005613.7091,45815005169.2651,48407761036.8238,52512343996.69,58522477786.6889,60382894697.3557,63027852805.4204,72794636653.7793,70922824813.9102,80780312569.1646
Croatia,HRV,"Population, total",SP.POP.TOTL,4295427,4280622,4260368,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,58975127200.9948,62889150894.151,57547495859.7306,59846869998.8711,59607109597.2123,50999271058.5849,52650804052.1394,56182225079.1072,61668280700.0968,61467261345.012,57959824238.1808,69002262504.9821,71196460236.6301,85621337533.3348
Cuba,CUB,"Population, total",SP.POP.TOTL,11297409,11301571,11303175,11298167,11285775,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,59562962962.963,68990000000,73141000000,77148000000,80656100000,87132800000,91370407900,96850649700,100050036100,103427600000,107352000000,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,155482,153948,153321,154654
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,2951342793.29609,2930092234.63687,3012836256.98324,3033568603.35196,3059406983.24022,3058779217.87709,3024690167.59777,3033433240.22346,3046364804.46927,3026124134.07821,2534327597.76536,2739594357.5419,3075180837.98883,3281419329.60894
Cyprus,CYP,"Population, total",SP.POP.TOTL,1127816,1146493,1165397,1183895,1201801,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25799940416.0167,27641553201.0506,25047433099.5891,23959708956.2926,23225912183.4991,19909269064.8473,21046452117.3759,22946583375.5506,25754011492.2204,26196660680.1176,25555082266.6429,30372637513.1352,31218047043.8386,35075440602.5202
Czechia,CZE,"Population, total",SP.POP.TOTL,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,211168667286.27,231429378717.312,210363223087.728,213024360541.119,210911285077.683,189107698561.919,198160659303.939,221563575696.217,251992360762.236,256794209028.77,251109660602.536,290972714482.313,301831228325.556,345059295659.911
Denmark,DNK,"Population, total",SP.POP.TOTL,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,322345594075.47,344315595263.175,326792574244.963,344631016965.12,352832602064.452,301758922337.637,312181849372.233,331610593961.988,355293374912.393,345401473012.615,355631021931.621,406110162088.054,400114306337.077,404651706117.557
Djibouti,DJI,"Population, total",SP.POP.TOTL,930251,948558,966747,984824,1002717,1020313,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1128611700.3618,1239144501.77525,1353632941.5207,2044440443.16654,2220637966.25047,2424391785.43897,2604955228.70117,2762581334.22612,2913464658.08768,3088851450.30694,3144136196.6228,3392796953.08939,3562814908.76149,3898447007.38798
Dominica,DMA,"Population, total",SP.POP.TOTL,68859,69053,69118,69715,70373,70410,69606,68496,68174,67880,67573,67202,66826,66510
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,519859259.259259,532081481.481481,520355555.555556,545325925.925926,572255555.555555,583177777.777778,612711111.111111,563355555.555555,628244444.444444,644259259.259259,528944444.444444,562911111.111111,623062962.962963,659311111.111111
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9820175,9945621,10070411,10193833,10315528,10434829,10551430,10666843,10782053,10894043,11008300,11123476,11230734,11331265
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,53801053352.5005,57948261615.957,60561635555.6383,62555417414.582,67014329099.5549,70966782572.4386,75552902635.7075,79070274743.1658,84994732049.3461,89146130744.723,78546672406.8291,94850719516.7127,113478103598.499,120456239153.739
Ecuador,ECU,"Population, total",SP.POP.TOTL,15076695,15326227,15572194,15807128,16035124,16266225,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,68151329000,78986648000,87735048000,96570334000,102717794000,97209558000,97671433000,104467486000,107478961000,107595830000,95865473000,107179074000,116133121000,120792801000
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,89196072,91093059,93161001,95333553,97528654,99597342,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,395926071447.591
El Salvador,SLV,"Population, total",SP.POP.TOTL,6068249,6090127,6113975,6138839,6162955,6183676,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,18447920000,20283780000,21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24921190000,29043140000,31870110000,33565430000
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1189085,1241835,1293483,1346218,1399828,1453923,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549
